"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111152605";"118601029";111152605;"16-04-2017 17:00:23";"24374";"No Cancelado"
"111152254";"118601032";111152254;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152874";"118601033";111152874;"16-04-2017 17:00:24";"24374";"No Cancelado"
"111154217";"118602020";111154217;"16-04-2017 21:01:05";"24145";"No Cancelado"
"111153112";"118601359";111153112;"16-04-2017 18:00:25";"21367";"No Cancelado"
"111154338";"118602136";111154338;"16-04-2017 22:00:24";"21367";"No Cancelado"
"111154055";"118602167";111154055;"16-04-2017 22:00:25";"21367";"No Cancelado"
"111153977";"118602103";111153977;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111154499";"118602104";111154499;"16-04-2017 22:00:23";"32664";"No Cancelado"
"111154126";"118601585";111154126;"16-04-2017 20:00:17";"24145";"No Cancelado"
"111153825";"118602146";111153825;"16-04-2017 22:00:25";"24549";"No Cancelado"
"111153054";"118602164";111153054;"16-04-2017 22:00:25";"24374";"No Cancelado"
"111153111";"118602186";111153111;"16-04-2017 22:00:25";"24374";"No Cancelado"
"111153151";"118602199";111153151;"16-04-2017 22:00:26";"32644";"No Cancelado"
"111150540";"118600494";111150540;"16-04-2017 11:00:32";"24145";"No Cancelado"
"111151829";"118600682";111151829;"16-04-2017 13:00:47";"24440";"No Cancelado"
"111152406";"118600869";111152406;"16-04-2017 16:00:19";"22593";"No Cancelado"
"111153103";"118601386";111153103;"16-04-2017 18:00:26";"32664";"No Cancelado"
"111153437";"118601480";111153437;"16-04-2017 19:00:35";"32664";"No Cancelado"
"111153394";"118601487";111153394;"16-04-2017 19:00:36";"28959";"No Cancelado"
"111151945";"118600951";111151945;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152089";"118601023";111152089;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111152396";"118600868";111152396;"16-04-2017 16:00:19";"32664";"No Cancelado"
"111154502";"118602097";111154502;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111153042";"118602159";111153042;"16-04-2017 22:00:25";"24440";"No Cancelado"
"111151561";"118600539";111151561;"16-04-2017 12:00:18";"32484";"No Cancelado"
"111151952";"118600737";111151952;"16-04-2017 14:00:19";"22593";"No Cancelado"
"111152616";"118600871";111152616;"16-04-2017 16:00:19";"21367";"No Cancelado"
"111152425";"118600872";111152425;"16-04-2017 16:00:19";"32644";"No Cancelado"
"111151733";"118600690";111151733;"16-04-2017 13:00:47";"24440";"No Cancelado"
"111153778";"118601474";111153778;"16-04-2017 19:00:35";"24440";"No Cancelado"
"111153734";"118601509";111153734;"16-04-2017 19:00:36";"32664";"No Cancelado"
"111153348";"118601356";111153348;"16-04-2017 18:00:25";"24440";"No Cancelado"
"111153004";"118601382";111153004;"16-04-2017 18:00:25";"32354";"No Cancelado"
"111151733";"118600691";111151733;"16-04-2017 13:00:47";"32484";"No Cancelado"
"111154637";"118602229";111154637;"16-04-2017 23:00:17";"30997";"No Cancelado"
"111151642";"118600518";111151642;"16-04-2017 11:56:29";"32644";"No Cancelado"
"111151480";"118600541";111151480;"16-04-2017 12:00:18";"32644";"No Cancelado"
"111151238";"118600543";111151238;"16-04-2017 12:00:18";"24374";"No Cancelado"
"111151684";"118600547";111151684;"16-04-2017 12:11:24";"33096";"No Cancelado"
"111151838";"118600680";111151838;"16-04-2017 13:00:47";"32644";"No Cancelado"
"111151873";"118600687";111151873;"16-04-2017 13:00:47";"24145";"No Cancelado"
"111152697";"118600950";111152697;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111151949";"118600974";111151949;"16-04-2017 17:00:21";"24440";"No Cancelado"
"111151986";"118601003";111151986;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111151404";"118600470";111151404;"16-04-2017 10:00:25";"24440";"No Cancelado"
"111152404";"118600933";111152404;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152638";"118601036";111152638;"16-04-2017 17:00:24";"24145";"No Cancelado"
"111153892";"118601591";111153892;"16-04-2017 20:00:17";"34160";"No Cancelado"
"111154199";"118602016";111154199;"16-04-2017 21:01:05";"24374";"No Cancelado"
"111150996";"118600526";111150996;"16-04-2017 12:00:18";"21367";"No Cancelado"
"111151765";"118600675";111151765;"16-04-2017 13:00:47";"32681";"No Cancelado"
"111152086";"118600733";111152086;"16-04-2017 14:00:19";"24440";"No Cancelado"
"111153494";"118602076";111153494;"16-04-2017 22:00:23";"24440";"No Cancelado"
"111153705";"118602079";111153705;"16-04-2017 22:00:23";"21367";"No Cancelado"
"111154185";"118602094";111154185;"16-04-2017 22:00:23";"32644";"No Cancelado"
"111152445";"118600925";111152445;"16-04-2017 17:00:20";"21367";"No Cancelado"
"111152950";"118600972";111152950;"16-04-2017 17:00:21";"21367";"No Cancelado"
"111151701";"118600983";111151701;"16-04-2017 17:00:22";"24440";"No Cancelado"
"111152572";"118600988";111152572;"16-04-2017 17:00:22";"24374";"No Cancelado"
"111152774";"118601019";111152774;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111151906";"118600948";111151906;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111154503";"118602114";111154503;"16-04-2017 22:00:23";"24641";"No Cancelado"
"111153060";"118602133";111153060;"16-04-2017 22:00:24";"21367";"No Cancelado"
"111154570";"118602147";111154570;"16-04-2017 22:00:25";"32014";"No Cancelado"
"111154107";"118602172";111154107;"16-04-2017 22:00:25";"32484";"No Cancelado"
"111152134";"118600956";111152134;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152857";"118601017";111152857;"16-04-2017 17:00:23";"24145";"No Cancelado"
"111152173";"118600825";111152173;"16-04-2017 15:00:32";"32664";"No Cancelado"
"111152097";"118601028";111152097;"16-04-2017 17:00:23";"22593";"No Cancelado"
"111153703";"118601498";111153703;"16-04-2017 19:00:36";"32926";"No Cancelado"
"111153957";"118601577";111153957;"16-04-2017 20:00:17";"24145";"No Cancelado"
"111154112";"118601578";111154112;"16-04-2017 20:00:17";"30175";"No Cancelado"
"111153903";"118601583";111153903;"16-04-2017 20:00:17";"24145";"No Cancelado"
"111152702";"118600966";111152702;"16-04-2017 17:00:20";"34160";"No Cancelado"
"111152311";"118601016";111152311;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111154196";"118602024";111154196;"16-04-2017 21:01:05";"27257";"No Cancelado"
"111152690";"118600967";111152690;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111152625";"118601041";111152625;"16-04-2017 17:00:24";"21367";"No Cancelado"
"111153397";"118601375";111153397;"16-04-2017 18:00:25";"22593";"No Cancelado"
"111151154";"118600391";111151154;"16-04-2017 08:00:20";"28959";"No Cancelado"
"111151396";"118600469";111151396;"16-04-2017 10:00:25";"24374";"No Cancelado"
"111151729";"118600674";111151729;"16-04-2017 13:00:47";"30175";"No Cancelado"
"111153774";"118601608";111153774;"16-04-2017 20:00:17";"32644";"No Cancelado"
"111151663";"118600684";111151663;"16-04-2017 13:00:47";"24440";"No Cancelado"
"111152023";"118600742";111152023;"16-04-2017 14:00:19";"22593";"No Cancelado"
"111153016";"118601373";111153016;"16-04-2017 18:00:25";"33276";"No Cancelado"
"111153411";"118601380";111153411;"16-04-2017 18:00:25";"32644";"No Cancelado"
"111153392";"118601357";111153392;"16-04-2017 18:00:25";"24440";"No Cancelado"
"111153045";"118601383";111153045;"16-04-2017 18:00:25";"32484";"No Cancelado"
"111153713";"118601492";111153713;"16-04-2017 19:00:36";"34872";"No Cancelado"
"111153693";"118601503";111153693;"16-04-2017 19:00:36";"30175";"No Cancelado"
"111152620";"118600864";111152620;"16-04-2017 16:00:19";"24374";"No Cancelado"
"111152656";"118600926";111152656;"16-04-2017 17:00:20";"32644";"No Cancelado"
"111152448";"118600934";111152448;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152677";"118600960";111152677;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152704";"118600969";111152704;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152720";"118600976";111152720;"16-04-2017 17:00:21";"24374";"No Cancelado"
"111152787";"118600999";111152787;"16-04-2017 17:00:23";"24440";"No Cancelado"
"111153827";"118601596";111153827;"16-04-2017 20:00:17";"22593";"No Cancelado"
"111153920";"118601598";111153920;"16-04-2017 20:00:17";"33229";"No Cancelado"
"111151527";"118600529";111151527;"16-04-2017 12:00:18";"32926";"No Cancelado"
"111153798";"118601601";111153798;"16-04-2017 20:00:17";"32644";"No Cancelado"
